,False,True,count
containsAdsTrue,151,60,211
offersIAPTrue,120,91,211
paidTrue,130,81,211
contentRatingAdult,191,20,211
top_digital_firms,197,14,211
NicheDummy,51,160,211
minInstallsTop,151,60,211
minInstallsMiddle,135,76,211
