,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,Non-leaders_full_cluster_size_bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_LIFESTYLE,"[0, 10]",306.0,0.69,0.86,0.01,0.05,0.08,1.12,4.39,306.0,10.67,3.16,0.69,8.52,11.51,13.82,15.42,306.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0,306.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0
category_LIFESTYLE,"(10, 30]",564.0,0.62,0.76,0.01,0.05,0.08,1.12,4.11,564.0,11.14,2.96,0.69,9.21,11.51,13.82,15.42,564.0,0.4,0.49,0.0,0.0,0.0,1.0,1.0,564.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0
category_LIFESTYLE,"(30, 100]",375.0,0.58,0.79,0.01,0.05,0.08,1.11,4.11,375.0,11.25,2.9,0.69,9.21,11.51,13.82,15.42,375.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0,375.0,0.37,0.48,0.0,0.0,0.0,1.0,1.0
category_LIFESTYLE,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_LIFESTYLE,"(500, 1500]",687.0,0.78,0.89,0.01,0.05,0.7,1.39,5.99,687.0,9.98,3.27,1.79,6.91,9.21,13.12,15.42,687.0,0.29,0.46,0.0,0.0,0.0,1.0,1.0,687.0,0.23,0.42,0.0,0.0,0.0,0.0,1.0
category_MEDICAL,"[0, 10]",178.0,0.82,1.05,0.01,0.05,0.09,1.4,4.62,178.0,10.28,2.99,2.4,8.52,10.82,13.12,15.42,178.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0,178.0,0.12,0.33,0.0,0.0,0.0,0.0,1.0
category_MEDICAL,"(10, 30]",258.0,0.74,1.05,0.01,0.05,0.08,1.4,5.53,258.0,10.73,2.99,1.79,9.21,11.51,13.82,15.42,258.0,0.48,0.5,0.0,0.0,0.0,1.0,1.0,258.0,0.12,0.33,0.0,0.0,0.0,0.0,1.0
category_MEDICAL,"(30, 100]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_MEDICAL,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
category_MEDICAL,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
