,parameter,pvalue
const,0.28,0.0
Non-leaders_category_SOCIAL_NicheDummy,0.073,0.02
PostDummy,-0.003,0.31
Non-leaders_category_SOCIAL_PostXNicheDummy,0.003,0.382
