,count,mean,std,min,25%,50%,75%,max
DeMeanedImputedscore,81.0,-0.02337333690771764,0.15328082148711103,-0.7192743812499995,-0.06892311250000027,-0.008799768750000325,0.014274318750000958,0.4093113739999996
ZScoreDeMeanedImputedreviews,81.0,-0.06505980357901632,0.021186003208672935,-0.20648072357320307,-0.06687586563146222,-0.06633927039411658,-0.060894172711997846,-0.02833658023605487
DeMeanedminInstallsTop,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMeanedminInstallsMiddle,81.0,0.034722222222222224,0.1445629188277547,0.0,0.0,0.0,0.0,0.9375
