,count,mean,std,min,25%,50%,75%,max
DeMeanedImputedscore,3342.0,0.0003923460694624775,0.3835971424310165,-4.2277131062499995,-0.0637500000000013,-8.881784197001252e-16,0.027605548437500516,4.375
ZScoreDeMeanedImputedreviews,3342.0,-0.06672169079037818,0.0007850667947813236,-0.08519028916361276,-0.06687238124680414,-0.06683430190018361,-0.06669965532161032,-0.05825699129506165
DeMeanedminInstallsTop,3342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMeanedminInstallsMiddle,3342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
