,count,mean,std,min,25%,50%,75%,max
DeMeanedImputedscore,129.0,-0.013370002728970598,0.20803328665880133,-0.5136071624999996,-0.07119431249999986,-0.015009412499999542,0.02474313749999979,1.6930454687499998
ZScoreDeMeanedImputedreviews,129.0,-0.056208369752688433,0.054475404775049106,-0.09847176794177274,-0.06681911993845907,-0.06620039277702991,-0.06401020813480279,0.4684167096212934
DeMeanedminInstallsTop,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMeanedminInstallsMiddle,129.0,0.04263565891472868,0.14678032523045365,0.0,0.0,0.0,0.0,0.9375
