,count,mean,std,min,25%,50%,75%,max
DeMeanedImputedscore,126.0,-0.023123592771542006,0.11560161471285033,-0.4375,-0.07781267500000033,-0.02921540000000089,0.012182303124999905,0.3641843749999998
ZScoreDeMeanedImputedreviews,126.0,-0.05739391982530033,0.07597997243219319,-0.3487362027012756,-0.06681464001532723,-0.0661262251607363,-0.06070439819044123,0.6853171657411242
DeMeanedminInstallsTop,126.0,0.013888888888888888,0.07701010034765281,0.0,0.0,0.0,0.0,0.4375
DeMeanedminInstallsMiddle,126.0,0.006448412698412698,0.14138364586280944,-0.4375,0.0,0.0,0.0,0.875
