,LogImputedprice_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,containsAdsTrue_202106
LogImputedprice_202106,1.0,-0.5568946323238206,-0.16645811419230455,-0.26969906940001914
LogImputedminInstalls_202106,-0.5568946323238206,1.0,0.07171213284302608,0.19662539273941282
offersIAPTrue_202106,-0.16645811419230455,0.07171213284302608,1.0,0.3900597092279498
containsAdsTrue_202106,-0.26969906940001914,0.19662539273941282,0.3900597092279498,1.0
