,count,mean,std,min,25%,50%,75%,max
Imputedprice,222.0,2.937747747747748,12.220918916259953,0.0,0.0,0.0,2.99,149.99
DeMeanedImputedscore,222.0,0.016594830817648034,0.2406370799576014,-0.8246155500000003,-0.05269194062500038,-0.00844493749999975,0.045626942187500186,2.87499984375
ZScoreDeMeanedImputedreviews,222.0,0.01607272512006776,0.36472400529203913,-0.5625708980912252,-0.06667327355205621,-0.06396092898035267,-0.05174753854220606,3.724014182213608
DeMeanedminInstallsTop,222.0,0.010698198198198198,0.09282590329498913,0.0,0.0,0.0,0.0,0.9375
DeMeanedminInstallsMiddle,222.0,0.007882882882882882,0.14371178350870603,-0.9375,0.0,0.0,0.0,0.9375
size,222.0,44.6036036036036,96.34001619258197,0.0,11.0,23.0,52.0,877.0
DaysSinceReleased,222.0,2480.554054054054,939.2079623876969,668.0,1718.0,2632.5,3195.75,4112.0
