,parameter,pvalue
const,0.068,0.225
genreId_HEALTH_AND_FITNESS_NicheDummy,-0.002,0.969
PostDummy,0.637,0.0
genreId_HEALTH_AND_FITNESS_PostXNicheDummy,-0.192,0.006
