,parameter,pvalue
const,0.276,0.113
genreId_VIDEO_PLAYERS_NicheDummy,-0.068,0.587
PostDummy,0.004,0.079
genreId_VIDEO_PLAYERS_PostXNicheDummy,0.004,0.409
