,parameter,pvalue
const,0.613,0.003
genreId_TRAVEL_AND_LOCAL_NicheDummy,0.147,0.231
PostDummy,0.005,0.571
genreId_TRAVEL_AND_LOCAL_PostXNicheDummy,0.006,0.635
