,parameter,pvalue
const,0.41,0.0
starDeveloper_non-top_digital_firms_NicheDummy,-0.032,0.16
PostDummy,0.01,0.029
starDeveloper_non-top_digital_firms_PostXNicheDummy,-0.006,0.187
