,parameter,pvalue
const,0.201,0.422
genreId_AUTO_AND_VEHICLES_NicheDummy,0.327,0.068
PostDummy,-0.073,0.225
genreId_AUTO_AND_VEHICLES_PostXNicheDummy,0.073,0.215
