,False,True,count
containsAdsTrue,169,40,209
offersIAPTrue,130,79,209
paidTrue,124,85,209
contentRatingAdult,178,31,209
top_digital_firms,202,7,209
NicheDummy,48,161,209
minInstallsTop,188,21,209
minInstallsMiddle,116,93,209
