,False,True,count
containsAdsTrue,105,102,207
offersIAPTrue,81,126,207
paidTrue,117,90,207
contentRatingAdult,166,41,207
top_digital_firms,197,10,207
NicheDummy,81,126,207
minInstallsTop,176,31,207
minInstallsMiddle,117,90,207
