,False,True,count
containsAdsTrue,162,58,220
offersIAPTrue,153,67,220
paidTrue,121,99,220
contentRatingAdult,218,2,220
top_digital_firms,195,25,220
NicheDummy,44,176,220
minInstallsTop,148,72,220
minInstallsMiddle,144,76,220
