,False,True,count
containsAdsTrue,159,47,206
offersIAPTrue,145,61,206
paidTrue,156,50,206
contentRatingAdult,189,17,206
top_digital_firms,205,1,206
NicheDummy,97,109,206
minInstallsTop,187,19,206
minInstallsMiddle,95,111,206
