,True,False,count
containsAdsTrue,145,107,252
offersIAPTrue,169,83,252
paidTrue,97,155,252
contentRatingAdult,79,173,252
top_digital_firms,10,242,252
NicheDummy,211,41,252
minInstallsTop,92,160,252
minInstallsMiddle,94,158,252
