,True,False,count
containsAdsTrue,130,79,209
offersIAPTrue,141,68,209
paidTrue,76,133,209
contentRatingAdult,20,189,209
top_digital_firms,24,185,209
NicheDummy,175,34,209
minInstallsTop,68,141,209
minInstallsMiddle,71,138,209
