,False,True,count
containsAdsTrue,190,60,250
offersIAPTrue,102,148,250
paidTrue,167,83,250
contentRatingAdult,226,24,250
top_digital_firms,248,2,250
NicheDummy,27,223,250
minInstallsTop,202,48,250
minInstallsMiddle,129,121,250
