,False,True,count
containsAdsTrue,72,44,116
offersIAPTrue,78,38,116
paidTrue,96,20,116
contentRatingAdult,113,3,116
top_digital_firms,114,2,116
NicheDummy,33,83,116
minInstallsTop,108,8,116
minInstallsMiddle,55,61,116
