,False,True,count
containsAdsTrue,217,28,245
offersIAPTrue,163,82,245
paidTrue,153,92,245
contentRatingAdult,236,9,245
top_digital_firms,242,3,245
NicheDummy,32,213,245
minInstallsTop,240,5,245
minInstallsMiddle,139,106,245
