,True,False,count
containsAdsTrue,55,26,81
offersIAPTrue,15,66,81
paidTrue,2,79,81
contentRatingAdult,8,73,81
top_digital_firms,0,81,81
NicheDummy,65,16,81
minInstallsTop,3,78,81
minInstallsMiddle,63,18,81
