,True,False,count
containsAdsTrue,91,77,168
offersIAPTrue,76,92,168
paidTrue,48,120,168
contentRatingAdult,12,156,168
top_digital_firms,4,164,168
NicheDummy,106,62,168
minInstallsTop,14,154,168
minInstallsMiddle,93,75,168
