,True,False,count
containsAdsTrue,96,30,126
offersIAPTrue,85,41,126
paidTrue,19,107,126
contentRatingAdult,20,106,126
top_digital_firms,4,122,126
NicheDummy,96,30,126
minInstallsTop,17,109,126
minInstallsMiddle,79,47,126
