,False,True,count
containsAdsTrue,276,171,447
offersIAPTrue,217,230,447
paidTrue,383,64,447
contentRatingAdult,343,104,447
top_digital_firms,0,447,447
NicheDummy,54,393,447
minInstallsTop,179,268,447
minInstallsMiddle,302,145,447
